Location,City,Bedrooms,Bathrooms,Parking,Price
 Karen, Nairobi,4,4,1,KSh 270 000
 Parklands, Nairobi,3,3,2,KSh 120 000
 Karen, Nairobi,5,5,"Erf Size:

                            2,000
                        
                        m²",KSh 450 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
 Runda, Nairobi,5,4,2,KSh 250 000
 Lavington, Nairobi,5,5,2,KSh 230 000
 Spring Valley, Nairobi,3,4,6,KSh 350 000
 Westlands, Nairobi,2,3,,KSh 150 000
 Kileleshwa, Nairobi,3,4,"Floor Size:

                            200
                        
                        m²",KSh 150 000
 Karen, Nairobi,4,4,"Erf Size:

                            2,000
                        
                        m²",KSh 200 000
,,3,3,2,KSh 200 000
 Kilimani, Nairobi,2,2,,KSh 180 000
 Runda, Nairobi,5,5,3,KSh 400 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
,,3,2,2,KSh 85 000
,,1,1,1,KSh 140 000
,,1,1,1,KSh 140 000
,,1,1,1,KSh 150 000
,,3,3,2,KSh 350 000
 Kilimani, Nairobi,2,2,,KSh 125 000
 Loresho, Nairobi,4,5,4,KSh 170 000
 Kitisuru, Nairobi,5,6,3,KSh 550 000
 Kilimani, Nairobi,2,2,,KSh 300 000
 Westlands, Nairobi,1,1,"Floor Size:

                            90
                        
                        m²",KSh 70 000
Kileleshwa, Nairobi,3,3,2,KSh 140 000
 Kilimani, Nairobi,2,2,,KSh 250 000
 Kileleshwa, Nairobi,4,4,3,KSh 320 000
 Kileleshwa, Nairobi,4,4,2,KSh 320 000
 Spring Valley, Nairobi,3,3,2,KSh 150 000
 Karen, Nairobi,4,4,,KSh 150 000
 Lower Kabete, Nairobi,5,5,3,KSh 320 000
Kileleshwa, Nairobi,3,3,2,KSh 140 000
Kileleshwa, Nairobi,3,4,2,KSh 140 000
 Westlands, Nairobi,4,4,3,KSh 300 000
Lavington, Nairobi,3,4,2,KSh 120 000
Westlands, Nairobi,2,2,,KSh 160 000
 Ridgeways, Nairobi,3,3,,KSh 3 500
 Ongata Rongai, Nairobi,3,2,2,KSh 40 000
 Runda, Nairobi,5,6,"Erf Size:

                            0.5
                        
                        m²",KSh 400 000
 Rosslyn, Nairobi,4,5,4,KSh 350 000
 Kilimani, Nairobi,2,2,,KSh 60 000
 Riverside, Nairobi,3,3,2,KSh 230 000
 Kileleshwa, Nairobi,6,7,10,KSh 280 000
 Nyari, Nairobi,4,5,3,KSh 340 000
 Parklands, Nairobi,3,3,2,KSh 100 000
 Lavington, Nairobi,3,3,2,KSh 100 000
 Westlands, Nairobi,"Floor Size:

                            1,800
                        
                        m²","1,800",,KSh 200 000
 Parklands, Nairobi,9,"Floor Size:

                            510
                        
                        m²",510,KSh 450 000
 Karen, Nairobi,5,5,"Erf Size:

                            3,000
                        
                        m²",KSh 250 000
 Karen, Nairobi,2,2,"Erf Size:

                            300
                        
                        m²",KSh 70 000
 Kilimani, Nairobi,2,3,2,KSh 100 000
 Westlands, Nairobi,5,4,2,KSh 400 000
 Runda, Nairobi,3,4,3,KSh 370 000
 Kilimani, Nairobi,2,2,2,KSh 100 000
 Westlands, Nairobi,2,3,"Floor Size:

                            155
                        
                        m²",KSh 130 000
Kileleshwa, Nairobi,3,4,,KSh 200 000
 Westlands, Nairobi,2,2,,KSh 160 000
 Lavington, Nairobi,5,5,2,KSh 350 000
 Westlands, Nairobi,5,4,2,KSh 400 000
 Runda, Nairobi,2,2,1,KSh 135 000
Kilimani, Nairobi,3,2,,KSh 95 000
Kileleshwa, Nairobi,4,"Floor Size:

                            359
                        
                        m²",359,KSh 270 000
Kitisuru, Nairobi,4,5,"Floor Size:

                            300
                        
                        m²",KSh 200 000
Lavington, Nairobi,5,5,,KSh 250 000
 Karen, Nairobi,4.5,2,"Erf Size:

                            1
                        
                        acres",KSh 350 000
 Westlands, Nairobi,1,,,KSh 95 000
