Location,City,Bedrooms,Bathrooms,Parking,Price
Westlands, Nairobi,5,4,,KSh 170 000
Lavington, Nairobi,4,4,,KSh 180 000
Lavington, Nairobi,5,5,,KSh 350 000
,,3,3,,KSh 200 000
,,3,3,,KSh 200 000
 Kilimani, Nairobi,2,2,2,KSh 150 000
 Lavington, Nairobi,4,4,2,KSh 160 000
 Kilimani, Nairobi,3,3,2,KSh 100 000
 Westlands, Nairobi,4,4,2,KSh 210 000
 Kilimani, Nairobi,3,3,2,KSh 100 000
 Kileleshwa, Nairobi,,,,KSh 25 000
 Lavington, Nairobi,5,5,2,KSh 250 000
Kileleshwa, Nairobi,3,3,,KSh 135 000
,,4,4,4,KSh 170 000
,,4,4,4,KSh 170 000
Westlands, Nairobi,3,3,,KSh 130 000
Westlands, Nairobi,1,1,2,KSh 130 000
Westlands, Nairobi,3,3,2,KSh 90 000
Kileleshwa, Nairobi,3,3,2,KSh 180 000
Kileleshwa, Nairobi,2,2,2,KSh 110 000
Kileleshwa, Nairobi,4,4,2,KSh 300 000
Kileleshwa, Nairobi,2,2,2,KSh 120 000
,,2,2,2,KSh 85 000
 Lower Kabete, Nairobi,4,3,2,KSh 110 000
Riverside, Nairobi,4,,,KSh 500 000
,,4,4,2,KSh 170 000
Lavington, Nairobi,5,4,,KSh 220 000
Lavington, Nairobi,2,2,2,KSh 65 000
Kileleshwa, Nairobi,2,2,2,KSh 140 000
 Westlands, Nairobi,2,2,2,KSh 120 000
Kileleshwa, Nairobi,1,2,1,KSh 60 000
Ongata Rongai, Nairobi,3,3,,KSh 38 000
 Lavington, Nairobi,3,3,2,KSh 80 000
Karen, Nairobi,5,5,,KSh 250 000
Kileleshwa, Nairobi,2,2,2,KSh 140 000
 Mlolongo, Nairobi,"Erf Size:

                            650
                        
                        m²",650,,KSh 210 000
 Runda, Nairobi,6,7,2,KSh 600 000
 Kileleshwa, Nairobi,3,3,2,KSh 100 000
 Westlands, Nairobi,1,2,"Floor Size:

                            400
                        
                        m²",KSh 150 000
Lower Kabete, Nairobi,4,4,,KSh 155 000
 Riverside, Nairobi,2,3,2,KSh 105 000
Kilimani, Nairobi,4,4,,KSh 180 000
Kilimani, Nairobi,4,4,,KSh 180 000
 Lavington, Nairobi,5,5,5,KSh 240 000
 Lavington, Nairobi,5,5,2,KSh 230 000
 Spring Valley, Nairobi,5,5,2,KSh 400 000
 Lavington, Nairobi,5,6,2,KSh 250 000
 Kilimani, Nairobi,2,2,2,KSh 100 000
 Lavington, Nairobi,5,5,2,KSh 250 000
 Lavington, Nairobi,5,5,2,KSh 250 000
 Lavington, Nairobi,5,5,5,KSh 250 000
,,4,4,,KSh 380 000
 Kilimani, Nairobi,3,3,2,KSh 130 000
 Lavington, Nairobi,5,6,2,KSh 450 000
Kilimani, Nairobi,1,1,1,KSh 50 000
Kilimani, Nairobi,1,1,1,KSh 50 000
Lavington, Nairobi,4,4,,KSh 190 000
Kilimani, Nairobi,2,2,2,KSh 75 000
Westlands, Nairobi,2,3,2,KSh 90 000
Kilimani, Nairobi,2,2,2,KSh 75 000
,,2,2,,KSh 130 000
Runda, Nairobi,4,4,2,KSh 400 000
Spring Valley, Nairobi,3,3,2,KSh 240 000
Runda, Nairobi,4,3,2,KSh 250 000
 Karen, Nairobi,4,4,3,KSh 350 000
,,2,2,"Floor Size:

                            100
                        
                        m²",KSh 90 000
 Kileleshwa, Nairobi,3,3,2,KSh 85 000
 Lavington, Nairobi,5,5,2,KSh 220 000
 Lavington, Nairobi,1,1,,KSh 35 000
 Ridgeways, Nairobi,4,4,"Erf Size:

                            400
                        
                        m²",KSh 430 000
